Jurisdicti,Situs_St_1,MEGA_APN,center_longitude,center_latitude,FieldDesc,Situs_St_2,Roll_Acres,MAP_PAGE,IrrigAcres,InactiveDa,Att1,Shape__Are,ActiveDate,CITY,Roll_AsmtD,Att5,MAPYEAR,Situs_St_3,GIS_Acres,WA_NUM,StandbyAcr,Agency_ID,FieldID,Situs_Stre,Situs_Spac,field_id,Att3,Comment,Att4,Deed_Acres,Roll_TRA,geometry_type,ZIP,OBJECTID,Att2,district,WA_FLAG,Name,ActiveFlag,VolRateAdj,Roll_Land,AreaAC,ParcelID,Roll_Asmt,unq_fld_id,Roll_Struc,FieldAcres,Shape__Len,LOT
,,,-121.74737101551598,39.02266831227654,11-14B (NORTH),,,,60.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,107.32,,D1A_001,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,53.4888,21-300-003 North 60 Acres,,1,,60.0,,
,,,-121.79295421354772,39.02183166964034,11-05 A1(W)B1(W),,,,105.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,105.58,,D1A_002,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,90.9426,"21-290-027, 21-290-028",,2,,105.0,,
,,,-121.7857505101355,39.0216055054156,11-05 A1(E) B1(E),,,,113.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,121.7,,D1A_003,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,94.5735,"21-290-025, 21-290-026",,3,,113.0,,
,,,-121.77674153425616,39.02151038308891,11-09,,,,104.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,124.55,,D1A_004,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,98.2135,21-290-029,,4,,104.0,,
,,,-121.7531386999398,39.02131749996352,11-14A,,,,48.0,2199/12/31 00:00:00.000,,,2023/04/01 00:00:00.000,,,,,,,,52.39,,D1A_005,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,40.456,21-300-003 North West 48 Acres,,5,,48.0,,
,,,-121.77105181512614,39.021314202800305,11-10,,,,66.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,74.79,,D1A_006,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,62.7304,21-290-029,,6,,66.0,,
,,,-121.76391325352131,39.02124543049275,"11-11, 11-12",,,,137.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,154.45,,D1A_007,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,133.2838,21-300-005 North 137,,7,,137.0,,
,,,-121.75695529189572,39.02088248001832,11-13,,,,68.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,79.54,,D1A_008,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,63.4666,21-300-004,,8,,68.0,,
,,,-121.74920642783454,39.01653059704547,11-14B (WEST),,,,100.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,107.32,,D1A_009,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,106.0279,24-080-002,,9,,100.0,,
,,,-121.7451849369283,39.016227138500184,11-14B (CENTER),,,,80.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,107.32,,D1A_010,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,82.2324,21-300-003 Center 80 Acres,,10,,80.0,,
